x,y,blade_waste,size,Cluster
-81.747883,42.9909158,5.55,3.3309352517985613,Cluster: 1
-82.694882,42.1441272,3.3,2.3597122302158273,Cluster: 1
-81.645,43.307,9.45,5.014388489208633,Cluster: 1
-82.4924805978698,42.2709973107996,0.75,1.2589928057553956,Cluster: 1
-81.703,43.384,6.0,3.5251798561151078,Cluster: 1
-82.972663,42.0311969,3.6,2.4892086330935252,Cluster: 1
-81.8886375,43.1334802,13.8,6.892086330935252,Cluster: 1
-82.0466111,42.5425792,1.2,1.4532374100719423,Cluster: 1
-81.903835,42.9235182,0.6,1.1942446043165467,Cluster: 1
-82.265016,42.1943169,6.0,3.5251798561151078,Cluster: 1
-82.265016,42.1943169,0.6,1.1942446043165467,Cluster: 1
-82.121,42.352,0.75,1.2589928057553956,Cluster: 1
-81.727894,42.961159,0.3,1.064748201438849,Cluster: 1
-81.740689,42.521339,0.75,1.2589928057553956,Cluster: 1
-82.81,42.191,0.75,1.2589928057553956,Cluster: 1
-82.8495114009887,42.1550829289583,0.75,1.2589928057553956,Cluster: 1
-82.8744109,42.0125,0.45,1.129496402877698,Cluster: 1
-82.5429226999999,42.2796218,4.05,2.683453237410072,Cluster: 1
-82.202293792195,42.208005923316,6.6,3.7841726618705036,Cluster: 1
-82.02441,43.15,0.6,1.1942446043165467,Cluster: 1
-82.186,42.273,7.8,4.302158273381295,Cluster: 1
-81.9785776,43.1763889,0.9,1.3237410071942446,Cluster: 1
-82.4599972703613,42.2312844987133,0.75,1.2589928057553956,Cluster: 1
-82.1199644,42.3503825,18.6,8.964028776978417,Cluster: 1
-83.0428326274779,42.0813135783287,0.75,1.2589928057553956,Cluster: 1
-82.121,42.352,0.75,1.2589928057553956,Cluster: 1
-81.72043,42.4538532,6.45,3.7194244604316546,Cluster: 1
-82.27,42.504,5.4,3.2661870503597124,Cluster: 1
-82.121,42.352,0.75,1.2589928057553956,Cluster: 1
-81.656121,43.4238398,0.15,1.0,Cluster: 1
-82.71,42.173,5.4,3.2661870503597124,Cluster: 1
-82.71,42.173,5.4,3.2661870503597124,Cluster: 1
-81.963222,43.0959662,6.9,3.9136690647482015,Cluster: 1
-81.7032851,43.1176554,6.75,3.8489208633093526,Cluster: 1
-82.658383,42.2478004,6.0,3.5251798561151078,Cluster: 1
-82.3893,42.4994721,8.25,4.496402877697841,Cluster: 1
-80.851883,42.6708456,9.9,5.2086330935251794,Cluster: 1
-82.121,42.352,0.75,1.2589928057553956,Cluster: 1
-82.0290898,42.361376,8.25,4.496402877697841,Cluster: 1
-81.673821,43.0234011,2.7,2.100719424460432,Cluster: 1
-80.513119,43.850482,0.75,1.2589928057553956,Cluster: 2
-80.59035,43.7943073,1.35,1.5179856115107913,Cluster: 2
-80.162353918988,44.004508176745,0.45,1.129496402877698,Cluster: 2
-81.269796,44.9477271,0.3,1.064748201438849,Cluster: 2
-81.458,44.252,17.25,8.381294964028777,Cluster: 2
-81.548127,44.313235,0.15,1.0,Cluster: 2
-80.401018,44.22461,0.9,1.3237410071942446,Cluster: 2
-80.401018,44.22461,1.8,1.7122302158273381,Cluster: 2
-81.4107933,44.4272222,0.15,1.0,Cluster: 2
-80.4041667,43.7861111,0.6,1.1942446043165467,Cluster: 2
-81.694126,43.8523531,0.15,1.0,Cluster: 2
-82.292356,45.7291488,0.3,1.064748201438849,Cluster: 2
-81.579276,44.2729944,0.15,1.0,Cluster: 2
-81.639,43.492,5.55,3.3309352517985613,Cluster: 2
-80.76145,43.8287368,0.15,1.0,Cluster: 2
-81.292124,43.5581348,2.25,1.9064748201438848,Cluster: 2
-81.6521887,44.0666667,5.7,3.39568345323741,Cluster: 2
-80.3966331,44.0888889,0.45,1.129496402877698,Cluster: 2
-80.3966331,44.0888889,0.3,1.064748201438849,Cluster: 2
-81.498786,44.1771975,13.65,6.827338129496402,Cluster: 2
-82.14401,45.8188682,0.3,1.064748201438849,Cluster: 2
-81.671,43.849,3.15,2.2949640287769784,Cluster: 2
-80.308,44.09,6.75,3.8489208633093526,Cluster: 2
-80.308,44.09,13.2,6.633093525179856,Cluster: 2
-81.543716,44.3153185,0.75,1.2589928057553956,Cluster: 2
-80.293,44.321,0.75,1.2589928057553956,Cluster: 2
-80.255,44.214,2.7,2.100719424460432,Cluster: 2
-80.255,44.214,4.65,2.9424460431654675,Cluster: 2
-81.663375,43.7830082,0.15,1.0,Cluster: 2
-80.3582875131836,44.309,1.35,1.5179856115107913,Cluster: 2
-81.636,43.933,21.0,10.0,Cluster: 2
-80.357,43.964,2.4,1.9712230215827338,Cluster: 2
-81.269796,44.9477271,0.15,1.0,Cluster: 2
-81.569339,44.2458536,0.75,1.2589928057553956,Cluster: 2
-80.59035,43.7943073,0.15,1.0,Cluster: 2
-81.972927,45.9301023,3.6,2.4892086330935252,Cluster: 2
-80.357,43.964,1.35,1.5179856115107913,Cluster: 2
-80.679,44.204,2.1,1.841726618705036,Cluster: 2
-80.656,45.845,13.05,6.568345323741006,Cluster: 2
-88.789,48.769,6.45,3.7194244604316546,Cluster: 3
-84.52721486,47.224894321,5.4,3.2661870503597124,Cluster: 3
-84.492,46.612,18.9,9.093525179856115,Cluster: 3
-84.3714878,46.6668798,1.65,1.6474820143884892,Cluster: 3
-75.358782,44.9655672,1.5,1.5827338129496402,Cluster: 4
-76.694857,44.1352949,4.05,2.683453237410072,Cluster: 4
-76.4446,44.1732,12.9,6.503597122302159,Cluster: 4
-76.719465,44.2277449,0.75,1.2589928057553956,Cluster: 4
-79.951,42.866,4.5,2.8776978417266186,Cluster: 5
-79.951,42.866,3.9,2.6187050359712227,Cluster: 5
-78.632727,44.1516419,0.75,1.2589928057553956,Cluster: 5
-78.583,44.009,0.75,1.2589928057553956,Cluster: 5
-78.583,44.009,0.6,1.1942446043165467,Cluster: 5
-79.424794,43.6304413,0.15,1.0,Cluster: 5
-79.3857526,42.8925535,0.75,1.2589928057553956,Cluster: 5
-80.682,43.069,1.5,1.5827338129496402,Cluster: 5
-78.639878,44.1720458,0.75,1.2589928057553956,Cluster: 5
-78.652429,44.102371,0.6,1.1942446043165467,Cluster: 5
-79.7085369902831,43.1101813424814,0.75,1.2589928057553956,Cluster: 5
-80.247857,42.7665956,0.6,1.1942446043165467,Cluster: 5
-80.044,42.828,8.7,4.690647482014389,Cluster: 5
-79.5869457811981,42.9517209158266,0.15,1.0,Cluster: 5
-79.074182,43.812267,0.15,1.0,Cluster: 5
-80.554788,42.5861614,0.9,1.3237410071942446,Cluster: 5
-80.586241,42.5876363,0.9,1.3237410071942446,Cluster: 5
-79.6042853789062,43.0201253613746,11.55,5.920863309352518,Cluster: 5
-79.491358,42.8582773,0.9,1.3237410071942446,Cluster: 5
-79.752,42.889,10.05,5.273381294964029,Cluster: 5
-80.554322,42.5857865,0.9,1.3237410071942446,Cluster: 5
